Pid,phenotype_name,description,synonyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0040008,Aplasia of facial bones,None,Absence of facial bones;Agenesis of facial bones;Aplasia of facial skeleton;Failure of development of facial bones;Failure of development of facial skeleton;Missing facial bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0040004,Abnormality of corneal shape,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034987,Focal necrotic optic nerve lesion,"A localized area of cell death, often accompanied by infiltration of inflammatory cells, in the optic nerve.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034983,Phenylephrine does not induce blanching of eye redness,"Instillation of 2.5% phenylephrine drops into the eye does not induce blanching of eye redness. Failure to blanch suggests redness caused by scleral vessel engorgement (e.g., scleritis) or extravascular cause (e.g., hemorrhage), not episcleritis or conjunctivitis.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034946,Multiple eyelid margin cysts,Presence of many apocrine hidrocystoma (cysts) on the margins of the eyelids.,Multiple eyelid-margin apocrine hidrocystomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034941,Palatine myxoma,"A myxoma (A benign tumor composed of myxomatous tissue composed of loosely-arranged spindle, polygonal, and stellate cells) localized to the palate. Clinically, such tumors may present as a sessile nodule on the hard palate.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034920,Nasal mucosa vasculitis,Inflammation of blood vessels in the mucosa of the nasal cavity.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034821,Bussaca nodules,A type of iris nodule consisting of inflammatory cell precipitates which lie on the iris surface.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034820,Koeppe nodules,A type of iris nodule consisting of inflammatory cell precipitates which lie at the pupillary margin.,Koeppe iris nodules;Koeppe's nodules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034819,Iris nodule,The presence of a nodule (small rounded lump of tissue) in the iris.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034814,Conjunctival membrane,Formation of a sheet of tissue by coagulum of exudate over the conjunctiva of the eye that if removed leaves behind a denuded bleeding surface.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034808,Eyelid pain,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the eyelid.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034804,Corneal foreign body sensation,A perception that an object is in contact with the eye.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034803,Hemolacria,The presence of blood in tears.,Bloody epiphora;Bloody tears;Red tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034781,Purulent parotid gland drainage,Excretion of pus (purulent discharge) from the opening of the parotid duct.,Purulent Stensen duct drainage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034776,Elevated blink rate,The frequecy with which the eye is blinked is above the upper limit of normal.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034775,Abnormal blink rate,A deviation from the normal frequency of blinking the eye.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034774,Decreased blink rate,The frequency with which the eye is blinked is below the lower limit of normal.,Blinking reduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034773,Oscillopsia,"A visual disturbance in which objects in the visual field appear to oscillate (jump, jiggle, vibrate).",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034668,Tongue myxoma,"A myxoma (benign soft tissue neoplasm characterized by the presence of spindle and stellate cells, lobulated growth pattern, and myxoid stroma formation) localized in the tongue.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034585,Cochlear nerve hypoplasia,A developmental defect characterized by underdevelopment of the cochlear nerve.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034567,Optic pit,A developmental anomaloy characterized by congenital excavation of the optic nerve head.,Optic disc pit;Optic nerve pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034518,Gingival fragility,Gums that are easily damaged.,Gum fragility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034515,Ameloblastoma,"Ameloblastoma is a benign odontogenic tumor generally present in the jaw bone. The tumor originates from the residual epithelium of the tooth germ, epithelium of odontogenic cysts stratified squamous epithelium and epithelium of the enamel organ.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034494,Opacified paranasal sinuses,White appearance (radio-opaqueness) of a paranasal sinus on radiography.,Paranasal sinuses opacification;Paranasal sinuses opacified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034428,Megaloblepharon,Disproportionately large eyelids,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034427,Purulent eye discharge,"Secretion of pus-like (purulent) material from the eye, which may caused the eyelids to be matted together.",Mucopurulent discharge from the eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034424,Clicking tinnitus,"A type of tinnitus that presents as clicks, resembling the noise made by the snapping together of 2 fingers.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034418,Erythematous oral mucosa,"An erythematous lesion of the oral mucosa may result from a variety of tissue alterations, including inflammation, erythrocyte extravasation, and atrophy or reduced keratinization of the surface epithelium.",Oral mucosa erythema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034417,Intraoral laceration,"A wound of the mucosa within the oral cavity covering lips, tongue, palate, gingiva, pharynx, or retropharynx.",Intraoral lacerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034416,Torn oral frenulum,"Laceration or tear of an oral frenulum, flaps of mucous membrane that extend from the midline gingiva to the upper or lower lip.","Laceration of oral frenulum;Oral frenulum, torn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034415,Tooth avulsion,A type of dental trauma characterized by total dislocation of the tooth from its socket.,Avulsed tooth;Teeth: avulsion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034414,Thick oral frenulum,"Increased thickness of an oral frenulum, flaps of mucous membrane that extend from the midline gingiva to the upper or lower lip.","oral frenulum, thick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034413,Palate mass,"A lump in the region of the palate. A mass is any lump in the body that can be caused by the abnormal growth of cells, a cyst, hormonal changes or an immune reaction. Typically a mass is an initial finding that will lead to additional workup.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034375,Spherophakia,"Spherophakia is a rare congenital condition that presents with weak zonules around a smaller and more spherical crystalline lens with an increased anteroposterior thickness of the lens, and highly myopic eye. The lens zonules are developmentally hypoplastic and abnormally weak and due to non-attachment of the posterior zonules to the equatorial zone of the lens, the lens changes its normal shape to spherical.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034363,Corneal pterygium,Corneal pterygium is an ocular surface disease characterized mainly by a wing-shaped growth of limbal and conjunctival tissue over the adjacent cornea.,Surfer's eye;Wing-shaped conjunctiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034362,Dull foveal reflex,"Reduced brigthness of the foveal reflex, which normally is a bright pinpoint of light that is observed to move sideways or up and down in response to movement of the opthalmoscope.",Decreased foveal light reflex;Muted foveal light reflex;Poor foveal light reflex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034327,Posterior corneal stroma punctiform multicolored opacities,"Thin, punctiform elements of various colors in the posterior stroma of the cornea, immediately anterior to Descemet membrane. The elements are visible to direct and indirect illumination.",Punctiform multicolored opacities in the posterior corneal stroma;Punctiform multicoloured opacities in the posterior corneal stroma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034311,Hypoplastic optic chiasm,Developmental defect characterized by undergrowth of the optic chiasm.,Optic chiasm hypoplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034302,Megalopapilla,A congenitally anomalous enlarged optic disk (surface area greater than 2.50 square millimeters). It is considered to be a normal variant without physiological defects.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034273,Premature sagging cheeks,Drooping or sinking of tissues of the cheeks more than would be expected at a given age. Sagging can occur due to a relative excess of skin and/or lack of elastic recoil as well as fat accumulation.,Premature facial sagging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034272,Perifoveal hypoautofluorescence,Decreased amount of autofluorescence (emission of fluorescent light from ocular structures in the absence of sodium fluorescein) in the retina in the region surrounding the fovea.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034270,Serrated incisors,Incisor teeth with irregular edges said to resemble a saw.,Jagged incisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034261,Aplasia/Hypoplasia of facial bones,A developmental defect characterized by absence or underdevelopment of one or more facial bone.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034260,Aplastic zygomatic arch,Developmental defect characterized by the absence of the zygomatic arch.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034252,Absent corneal reflex,"Absence of the corneal blinking reflex, which normally induces involuntary blinking of the eyelids following contact of the cornea. The corneal blink reflex is caused by a loop between the trigeminal sensory nerves and the facial motor (VII) nerve innervation of the orbicularis oculi muscles.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034251,Abnormal corneal reflex,An anomaly of the corneal reflex that normally induces involuntary blinking of the eyelids following contact of the cornea.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034185,Median pseudocleft lip,A type of mild median cleft lip in which the central tubercle of the upper lip is replaced by a mucosal cleft in the midline.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034046,Mandibular osteolysis,Osteolysis (destruction of bone through bone resorption with removal or loss of calcium) localized to the mandible.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034008,Opto-chiasmatic atrophy,Wasting (atrophy) of the optic chiasm.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034004,Parosmia,"Misperception of existing odor, that is, distorted or altered olfactory perception in the presence of known stimuli.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0034003,Broad medial eyebrow,Regional increase in the width (height) of the middle portion of the eyebrow.,Medial broadening of eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033980,Paroxysmal tonic upgaze,"Recurrent episodes of sustained upward deviation of the eyes and incomplete downward saccades, and normal horizontal eye movements without impairment of consciousness.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033851,Oculomotor synkinesis,"Elevation of the upper eyelid on attempted downward gaze or adduction, adduction of the eye on attempted upward or downward gaze, and constriction of the pupil on attempted adduction.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033847,Phantageusia,"A form of altered taste sensation in which the affected person perceives a taste, usually an unpleasant one, in the absence of a corresponding stimulus in the environment.",Phantom taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033792,Cross bite,Lingual occlusion of buccal cusps and/or incisal edge of maxillary teeth to the buccal cusps and/or incisal edge of mandibular teeth.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033791,Tooth ankylosis,Fusion of a tooth with alveolar bone.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033790,Thistle tube shaped pulp,"A thistle tube shape of the pulp chamber, meaning an enlarged coronal pulp chamber with narrow pulp canals giving a radiographic appearance of the shape of a thistle tube or a flame. It may occur isolated or associated with other dental anomalies and rare diseases such as dentinogenesis imperfecta, which should be assessed and coded separately. The diagnosis thistle tube shape pulp requires clinical and radiographic examinations.",Flame-shaped pulp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033788,Cementum overgrowth,Excess of cementum on the tooth root surface.,Cementation hyperplasia;Cementum hypertrophy;Cementum overdeveloped;Drumstick-shaped root;Hypercementosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033787,Cementum hypoplasia,The decrease or absence of cementum. The cementum anchors the periodontal ligament attachment fiber between the tooth root and the alveolar bone. Its absence leads to early loss of teeth.,Cementum aplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033786,Hypomature enamel,Enamel with a white or brown discoloration without hypoplasia.,Enamel opacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033785,Enamel agenesis,Complete or almost complete absence of enamel.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033784,Dentin dysplasia,This is a bundled term as dentin dysplasia is composed of short roots with pointed ends and taurodontism and intrapulpal calcifications.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033783,Molar incisor malformation,"Molar incisor malfomation (MIM) is composed of normal crown with marked cervical constriction, thin, narrow short roots which is a combination of signs that occurs in deciduous and permanent molars.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033782,Semilunar tooth,An incisor with a half-moon shape incisal edge.,"Crescent-shape tooth;Hutchinson incisor;Semicircular tooth;Tooth, semilunar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033781,Tapered tooth,A tooth with a crown that narrows from proximal toward the incisal edge. Tapering of teeth typically involves incisors.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033780,Bulbous tooth,A tooth crown with a marked cervical area constriction.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033779,Barrel-shaped tooth,A tooth crown with convex mesial and distal surfaces.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033778,Leung cusp,An additional cusp located in the middle of the occlusal surface.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033777,Supernumerary cusp,Additional cusps of a dental crown.,Additional cusp;Extra cusp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033776,Enamel pearls,Small nodules of enamel on the root of a tooth.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033743,Macular agenesis,A congenital defect characterized by lack of development of the macula.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033693,Phantosmia,Perception of an odor in the absence of any stimuli in the surrounding environment that could emit the odor.,Phantom odor;Phantom odour;Phantom smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033521,Nasal dryness,A lack of humidification of the nasal mucosa.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033434,Nasal septum perforation,A full-thickness defect of the nasal septum.,Nasal-septum perforation;Perforation of the nasal septum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033380,Nasal chondritis,Inflammation of the cartilage of the nose.,Nose chondritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033361,Nasal ulcer,An open sore of the nasal mucosa.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033333,Jaw contracture,Limitation of motion of the jaw due to structural changes in a muscle such as the massseter responsible for jaw movement.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033189,Radiculomegaly,"Tooth root length more than 2 SD above mean, or subjectively apparently increased tooth root length.",Long dental root;Rhizomegaly;Root gigantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033166,Recurrent viral upper respiratory tract infections,"An increased susceptibility to viral upper respiratory tract infections as manifested by a history of recurrent viral upper respiratory tract infections (otitis, sinusitis, pharyngitis, tonsillitis).",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033142,Long nasal bridge,"Increased superior-inferior length of the nasal bridge, which is the saddle-shaped area that includes the nasal root and the lateral aspects of the nose.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033027,Retinal peau d'orange,A pebbly orange appearance of the fundus that is said to resemble the skin of an orange.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0033026,White oral mucosal macule,A small circumscribed whitish change in the color of the oral mucosa that is neither elevated nor depressed.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032935,Posterior crocodile shagreen of the cornea,"Grayish, polygonal pattern of opacities with intervening clear zones across the central cornea that resembles crocodile skin.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032804,Focal impaired awareness sensory seizure with olfactory features,A focal sensory seizure with olfaction in which awareness is partially or fully impaired at some point during the seizure.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032797,Focal aware sensory seizure with olfactory features,"Seizures characterized by olfactory phenomena at onset - usually an odor, which is often unpleasant.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032547,Low intraocular pressure,An abnormal decrease of the pressure within the eye.,Ocular hypotony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032520,Masseter muscular weakness,"Reduced strength of the masseter muscle, whose primary function is to elevate the mandible and thereby raise the mandible towards the maxilla, closing the jaw.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032514,Duplicated lacrimal punctum,A congenital developmental anomaly characterized by the presence of two (instead of the normal one) lacrimal punctum on one or both sides of the face.,"Double lacrimal puncta;Lacrimal punctum, duplication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032454,Labial melanotic macule,"Flat, distinct, discolored area on the lip less than 1 cm wide not associated with a change in the thickness or texture.",Labial melanotic freckle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032453,Abnormal lip pigmentation,"Abnormal coloring of the lip, whereby the lip discolored, blotchy, or darker or lighter than normal.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032452,Oral melanoacanthoma,"Oral melanoacanthoma usually presents as an asymptomatic, ill-defined, rapidly enlarging, macular pigmentation. Although most lesions are heavily pigmented, the coloration may or may not be uniform. Any mucosal site may be affected, but buccal mucosal involvement is most common. Although typically solitary, rare patients may present with multifocal lesions.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032451,Oral melanotic macule,"Flat, distinct, discolored area of oral mucosal membrane less than 1 cm wide not associated with a change in the thickness or texture of the affected mucosal membrane. The lesions are small, solitary, well-circumscribed and often uniformly pigmented.",Melanotic macule of oral mucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032416,Retinal microaneurysm,"A localized dilation of microvasculature formed due to disruption of the internal elastic lamina of a retinal capillary blood vessel. The lesions present as small circular, red dots having distinct margins and are no larger than a blood vessel width at the disk margin. This expansion disturbs the normal flow pattern, changing shear force and pressure along the vessel. Shear force plays a key role in promoting the differentiation and proliferation of endothelial cells.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032328,Temporomandibular joint adhesion,Formation of one or more fibrous bands within the temporomandibular joint (TMJ) with resulting limitation of movement of the TMJ. Adhesions may be seen in degenerative processes that involve the TMJ.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032313,Frontotemporal hypertrichosis,"Excessive, increased hair growth located in the region of the forehead and temple.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032287,Ultra-low vision with no light perception,Ultra-low vision with complete lack of light and form perception.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032286,Ultra-low vision with retained light perception,Ultra-low vision but with retained ability to perceive the difference between light and dark.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032285,Ultra-low vision with retained light projection,"Ultra-low vision but with retained ability to perceive the difference between light and dark. Also when light is projected in each of the four quadrants of the visual field, the individual is able to correctly identify the origin of the light stimulus.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032284,Ultra-low vision with retained motion projection,Ultra-low vision but with retained ability to identify a moving object (typically hand motion at distance of 30 cm).,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032270,Optic nerve tram-track sign,"A tram-track sign is composed of two enhancing areas of tumor separated from each other by the negative defect of the optic nerve. It is seen on contrast-enhanced CT scan and MRI images, in optic nerve sheath meningioma. The sign helps distinguish between optic nerve sheath meningioma and optic glioma. Optic glioma arises from glial cells within the optic nerve and there is no clear separation between the nerve and the tumor; hence the tram-track sign is not seen in optic gliomas. Calcification may be seen in optic nerve sheath meningiomas in 20-50% of cases and hence the tram-track sign may be seen on nonenhanced CT scan images as a linear calcification around the nerve, but this is less common.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032154,Aphthous ulcer,"Oral aphthous ulcers typically present as painful, sharply circumscribed fibrin-covered mucosal defects with a hyperemic border.",Canker sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032143,Burning mouth,"An intense sensation of burning, scalding, or tingling feeling of the tongue or other regions of the oral mucosa.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032142,Fetor hepaticus,"Fetor hepaticus is the characteristic breath of patients with severe parenchymal liver disease, which has been said to resemble the odor of a mixture of rotten eggs and garlic.",Foetor hepaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032123,Ultra-low vision,Best corrected visual acuity worse than 1.90 logMAR (roughly 20/1590).,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032122,Very low visual acuity,A reduction in visual acuity with best corrected visual acuity between 1.40 (20/500) and 1.89 logMAR (up to roughly 20/1590).,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032118,Retinitis,Inflammation of the retina of the eye.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032116,Macrosquare-wave jerks,Horizontal 10-40 degree excursions from fixation and back again.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032114,Saccadic intrusion,An involuntary abnormality of fixation in which there is an abnormal saccade away from fixation followed by a delayed corrective saccade.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032112,Abnormal Pelli Robson contrast sensitivity chart test,"An abnormality in perception of contrast as measured by the Pelli-Robson contrast sensitivity chart, which is a large wall-mounted chart, with letters of a fixed size (comprising spatial frequencies appropriate for estimating peak contrast sensitivity) that decrease in contrast.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032111,Abnormal Vistech contrast sensitivity test,An abnormality in perception of contrast as measured by the Vistech wall chart sine wave grating test.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032110,Severely reduced contrast sensitivity,A severe reduction in the ability to perceive visual contrast characterized by 1.00 log unit or more contrast sensitivity loss.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032109,Moderately reduced contrast sensitivity,A moderate reduction in the ability to perceive visual contrast characterized by 0.60-0.99 log unit contrast sensitivity loss.,Moderate reduction in contrast sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032108,Mildly reduced contrast sensitivity,A mild reduction in the ability to perceive visual contrast characterized by 0.20-0.59 log unit contrast sensitivity loss.,Mild reduction in contrast sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032107,Limbal stem cell deficiency,A condition characterized by a loss or deficiency of the stem cells in the limbus that are vital for re-population of the corneal epithelium and to the barrier function of the limbus.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032106,Conjunctival icterus,Conjunctival icterus is a condition where there is yellowing of the whites of the eyes. This is most commonly seen in patients who have liver disease.,Scleral icterus;Yellow conjunctiva;Yellow sclera;Yellowing of the whites of the eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032105,Macrosaccadic oscillations,A type of saccadic oscillations with brief periods of fixation between saccades (intersaccadic interval approximately 200 msec). Macrosaccadic oscillations (up to 40 degrees) straddle the intended fixation position and show a crescendo-decrescendo pattern.,Macrosaccadic oscillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032104,Saccadic oscillation,An involuntary abnormality of fixation in which there is an abnormal saccade away from fixation followed by an immediate corrective saccade.,Saccadic oscillations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032100,Abnormal doll's eye reflex,The doll's eye reflex (also known as oculocephalic reflex) is a test of brain function that is performed in comatose patients by elevating the head roughly 30 degrees and rapidly rotating the head from side to side with the eyes kept open. A normal response is for the eyes to move in the opposite direction. If the eyes do not move in the opposite direction this may indicate severe brain damage.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032040,Abnormal ocular adnexa physiology,"A functional anomaly of the adjacent structures (i.e., adnexa) of the eye, defined as the lacrimal apparatus, the extraocular muscles and the eyelids, eyelashes, eyebrows and the conjunctiva.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032039,Abnormality of the ocular adnexa,"An anomaly of the adjacent structures (i.e., adnexa) of the eye, defined as the lacrimal apparatus, the extraocular muscles and the eyelids, eyelashes, eyebrows and the conjunctiva.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032037,Mildly reduced visual acuity,Mild reduction of the ability to see defined as visual acuity less than 6/12 (20/40 in US notation; 0.5 in decimal notation) but at least 6/18 (20/63 in US notation; 0.32 in decimal notation).,Mild reduction in visual acuity;Mild vision loss;Mild visual loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032036,Reduced contrast sensitivity,"An abnormality in perception of contrast. Spatial contrast is a physical dimension referring to the light-dark transition of a border or an edge in an image that delineates the existence of a pattern or an object. Contrast sensitivity refers to a measure of how much contrast a person requires to see a target. Contrast-sensitivity measurements differ from acuity measurements; acuity is a measure of the spatial-resolving ability of the visual system under conditions of very high contrast, whereas contrast sensitivity is a measure of the threshold contrast for seeing a target.",Abnormal contrast sensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032035,Lower eyelid laxity,Abnormally lax lower eyelid associated with tissue relaxation.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032034,Upper eyelid laxity,Abnormally lax upper eyelid associated with tissue relaxation.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032033,Vertical eyelid laxity,"Abnormally lax eyelid associated with tissue relaxation, predominantly in the vertical plane. It can be demonstrated by vertical lid pull. Loosening of vertical stabilising structures (e.g. lower lid retractors) or tarsal atrophy are often present.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032032,Horizontal eyelid laxity,"Abnormally lax eyelid associated with tissue relaxation, predominantly in the horizontal plane. It can be demonstrated by the horizontal eyelid distraction test (e.g. by pulling the eyelid medially and laterally). Medial and/or lateral canthal tendon laxity are often present.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032031,Medial canthal tendon laxity,Laxity of the tendon stabilising the medial aspect of the tarsal plate to the anterior and posterior lacrimal crests. This may lead to more than 2mm movement of the punctum when the eyelid is pulled laterally.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032030,Lateral canthal tendon laxity,"Laxity of the tendon stabilising the lateral aspect of the tarsal plate to the zygomatic bone. This can result in rounded appearence of the lateral canthus. Also, when the eyelid is pulled medially, more than 2 mm movement of the canthal angle may be observed.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032029,Floppy eyelid,"Excessive eyelid tissue laxity, typically affecting both upper eyelids and associated with spontanteous tarsal eversion during sleep. It is more common in the obese, it may be associated with obstructive sleep apnea and it may result in corneal exposure or chronic papillary conjunctivitis.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032028,Macular dots,"Yellow, white or greyish lesions in the macula that are well-defined/distinct, individual and mostly uniform in size.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0032027,Retinal dots,"Yellow, white or greyish lesions in the retina that are well-defined/distinct, individual and mostly uniform in size.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
